Ticker,Reason
POLYX-EUR,No clear directional entry/exit
APT-EUR,No clear directional entry/exit
VANRY-EUR,No clear directional entry/exit
SHELL-EUR,Insufficient data
W-EUR,No clear directional entry/exit
MAVIA-EUR,No clear directional entry/exit
CHILLGUY-EUR,No clear directional entry/exit
ONDO-EUR,No clear directional entry/exit
AVAX-EUR,No clear directional entry/exit
IMX-EUR,No clear directional entry/exit
BABY-EUR,No clear directional entry/exit
HIGH-EUR,No clear directional entry/exit
SOL-USDC,No clear directional entry/exit
MASK-EUR,No clear directional entry/exit
BANANA-EUR,No clear directional entry/exit
SUI-EUR,No clear directional entry/exit
BADGER-EUR,Insufficient data
LPT-EUR,No clear directional entry/exit
CAT-EUR,No clear directional entry/exit
PNUT-EUR,No clear directional entry/exit
LINK-EUR,No clear directional entry/exit
TAIKO-EUR,No clear directional entry/exit
EPIC-EUR,No clear directional entry/exit
DIA-EUR,No clear directional entry/exit
VET-USDC,Insufficient data
API3-EUR,No clear directional entry/exit
ADA-EUR,No clear directional entry/exit
ELF-EUR,No clear directional entry/exit
RENDER-EUR,No clear directional entry/exit
ALT-EUR,No clear directional entry/exit
SAND-EUR,No clear directional entry/exit
IO-EUR,No clear directional entry/exit
DGB-EUR,No clear directional entry/exit
NEIRO-EUR,No clear directional entry/exit
PHA-EUR,No clear directional entry/exit
IQ-EUR,No clear directional entry/exit
RDNT-EUR,No clear directional entry/exit
TAI-EUR,No clear directional entry/exit
XVG-EUR,No clear directional entry/exit
XRP-USDC,No clear directional entry/exit
BIO-EUR,No clear directional entry/exit
ZKJ-EUR,No clear directional entry/exit
BTC-EUR,No clear directional entry/exit
PHB-EUR,No clear directional entry/exit
ICP-EUR,No clear directional entry/exit
GRT-EUR,No clear directional entry/exit
REZ-EUR,No clear directional entry/exit
BLUR-EUR,No clear directional entry/exit
EUROC-USDC,Insufficient data
MOVR-EUR,No clear directional entry/exit
SEI-USDC,No clear directional entry/exit
PRIME-EUR,No clear directional entry/exit
AVAX-USDC,No clear directional entry/exit
SOL-EUR,No clear directional entry/exit
DOGE-USDC,No clear directional entry/exit
MEME-EUR,No clear directional entry/exit
DOGS-EUR,No clear directional entry/exit
SSV-EUR,No clear directional entry/exit
MANTA-EUR,No clear directional entry/exit
TAO-EUR,No clear directional entry/exit
ZIL-EUR,No clear directional entry/exit
BCH-EUR,No clear directional entry/exit
WELL-EUR,No clear directional entry/exit
VET-EUR,No clear directional entry/exit
ROSE-EUR,No clear directional entry/exit
PEPE-USDC,No clear directional entry/exit
MORPHO-EUR,No clear directional entry/exit
MAGIC-EUR,No clear directional entry/exit
PENGU-EUR,No clear directional entry/exit
MICHI-EUR,No clear directional entry/exit
LYX-EUR,No clear directional entry/exit
PEOPLE-EUR,No clear directional entry/exit
TRU-EUR,No clear directional entry/exit
ICX-EUR,No clear directional entry/exit
GNS-EUR,No clear directional entry/exit
FIL-EUR,No clear directional entry/exit
RAY-EUR,No clear directional entry/exit
NOT-USDC,No clear directional entry/exit
GRASS-EUR,No clear directional entry/exit
XAI-EUR,No clear directional entry/exit
AUDIO-EUR,No clear directional entry/exit
KMNO-EUR,No clear directional entry/exit
NFP-EUR,No clear directional entry/exit
HOT-EUR,No clear directional entry/exit
LISTA-EUR,No clear directional entry/exit
SWEAT-EUR,No clear directional entry/exit
TURBO-EUR,No clear directional entry/exit
PIXEL-EUR,No clear directional entry/exit
TRX-EUR,No clear directional entry/exit
TRUMP-EUR,No clear directional entry/exit
BTT-EUR,No clear directional entry/exit
CHZ-EUR,No clear directional entry/exit
AR-EUR,No clear directional entry/exit
PYTH-EUR,No clear directional entry/exit
DENT-EUR,No clear directional entry/exit
LUMIA-EUR,No clear directional entry/exit
ADX-EUR,No clear directional entry/exit
SUPER-EUR,No clear directional entry/exit
AERO-EUR,No clear directional entry/exit
MEW-EUR,No clear directional entry/exit
XRP-EUR,No clear directional entry/exit
SHIB-USDC,No clear directional entry/exit
JASMY-EUR,No clear directional entry/exit
PONKE-EUR,No clear directional entry/exit
DOGE-EUR,No clear directional entry/exit
LAYER-EUR,Insufficient data
BIGTIME-EUR,No clear directional entry/exit
BEAM-EUR,No clear directional entry/exit
WOO-EUR,No clear directional entry/exit
STX-USDC,No clear directional entry/exit
CPOOL-EUR,No clear directional entry/exit
HBAR-EUR,No clear directional entry/exit
BRETT-EUR,No clear directional entry/exit
ILV-EUR,No clear directional entry/exit
BOME-EUR,No clear directional entry/exit
AIOZ-EUR,No clear directional entry/exit
AMP-EUR,No clear directional entry/exit
AVA-EUR,No clear directional entry/exit
EUROP-EUR,No clear directional entry/exit
MOODENG-EUR,No clear directional entry/exit
LUNA-EUR,No clear directional entry/exit
HIFI-EUR,No clear directional entry/exit
PEPE-EUR,No clear directional entry/exit
ORCA-EUR,No clear directional entry/exit
FLOKI-EUR,No clear directional entry/exit
KERNEL-EUR,No clear directional entry/exit
PROMPT-EUR,Insufficient data
NEAR-USDC,No clear directional entry/exit
FET-EUR,No clear directional entry/exit
TIA-USDC,No clear directional entry/exit
AGI-EUR,No clear directional entry/exit
ETH-USDC,No clear directional entry/exit
NOS-EUR,No clear directional entry/exit
VTHO-EUR,No clear directional entry/exit
POL-EUR,No clear directional entry/exit
COS-EUR,No clear directional entry/exit
TOKEN-EUR,No clear directional entry/exit
WIN-EUR,No clear directional entry/exit
AXL-EUR,No clear directional entry/exit
CVC-EUR,No clear directional entry/exit
LMWR-EUR,No clear directional entry/exit
FORM-EUR,No clear directional entry/exit
LTC-EUR,No clear directional entry/exit
NOT-EUR,No clear directional entry/exit
SHIB-EUR,No clear directional entry/exit
XDC-EUR,No clear directional entry/exit
THETA-EUR,No clear directional entry/exit
RSR-EUR,No clear directional entry/exit
COW-EUR,No clear directional entry/exit
ATOM-EUR,No clear directional entry/exit
PEAQ-EUR,No clear directional entry/exit
PORTAL-EUR,No clear directional entry/exit
JTO-EUR,No clear directional entry/exit
LRC-EUR,No clear directional entry/exit
ACH-EUR,No clear directional entry/exit
YGG-EUR,No clear directional entry/exit
DODO-EUR,No clear directional entry/exit
NIL-EUR,No clear directional entry/exit
EOS-EUR,No clear directional entry/exit
DNT-EUR,No clear directional entry/exit
PUFFER-EUR,No clear directional entry/exit
SUI-USDC,No clear directional entry/exit
F-EUR,No clear directional entry/exit
AXS-EUR,No clear directional entry/exit
STX-EUR,No clear directional entry/exit
MERL-EUR,No clear directional entry/exit
BETA-EUR,Insufficient data
APE-EUR,No clear directional entry/exit
QNT-EUR,No clear directional entry/exit
ETC-EUR,No clear directional entry/exit
ADA-USDC,No clear directional entry/exit
LINK-USDC,No clear directional entry/exit
TIA-EUR,No clear directional entry/exit
CSPR-EUR,No clear directional entry/exit
FUEL-EUR,No clear directional entry/exit
PENDLE-EUR,No clear directional entry/exit
TON-EUR,No clear directional entry/exit
EIGEN-EUR,No clear directional entry/exit
UNI-EUR,No clear directional entry/exit
AAVE-EUR,No clear directional entry/exit
GMT-EUR,No clear directional entry/exit
NPC-EUR,No clear directional entry/exit
SPX-EUR,No clear directional entry/exit
SLP-EUR,No clear directional entry/exit
TOSHI-EUR,Insufficient data
WLD-EUR,No clear directional entry/exit
C98-EUR,No clear directional entry/exit
ALPHA-EUR,No clear directional entry/exit
ETH-EUR,No clear directional entry/exit
ACT-EUR,No clear directional entry/exit
HNT-EUR,No clear directional entry/exit
MOG-EUR,No clear directional entry/exit
MBOX-EUR,No clear directional entry/exit
AIXBT-EUR,No clear directional entry/exit
CATI-EUR,No clear directional entry/exit
OM-EUR,No clear directional entry/exit
DRIFT-EUR,No clear directional entry/exit
DEGEN-EUR,No clear directional entry/exit
MOVE-EUR,No clear directional entry/exit
S-EUR,No clear directional entry/exit
GALA-EUR,No clear directional entry/exit
HYPE-EUR,No clear directional entry/exit
BTC-USDC,No clear directional entry/exit
BONK-EUR,No clear directional entry/exit
SYN-EUR,No clear directional entry/exit
CVX-EUR,No clear directional entry/exit
OP-EUR,No clear directional entry/exit
GIGA-EUR,No clear directional entry/exit
EUROC-EUR,No clear directional entry/exit
